week,day_of_week,hour,n
2021-01-17T00:00:00Z,1,01,26
2021-01-24T00:00:00Z,1,01,18
2021-01-31T00:00:00Z,1,01,27
2021-02-07T00:00:00Z,1,01,31
2021-02-14T00:00:00Z,1,01,30
2021-02-21T00:00:00Z,1,01,30
2021-02-28T00:00:00Z,1,01,13
2021-03-07T00:00:00Z,1,01,24
2021-03-14T00:00:00Z,1,01,18
2021-03-21T00:00:00Z,1,01,29
2021-03-28T00:00:00Z,1,01,24
2021-04-04T00:00:00Z,1,01,35
2021-04-11T00:00:00Z,1,01,24
2021-04-18T00:00:00Z,1,01,27
2021-04-25T00:00:00Z,1,01,25
2021-05-02T00:00:00Z,1,01,38
2021-05-09T00:00:00Z,1,01,28
2021-05-16T00:00:00Z,1,01,33
2021-05-23T00:00:00Z,1,01,30
2021-05-30T00:00:00Z,1,01,21
2021-06-06T00:00:00Z,1,01,36
2021-06-13T00:00:00Z,1,01,36
2021-06-20T00:00:00Z,1,01,40
2021-06-27T00:00:00Z,1,01,31
2021-07-04T00:00:00Z,1,01,34
2021-07-11T00:00:00Z,1,01,25
2021-07-18T00:00:00Z,1,01,29
2021-07-25T00:00:00Z,1,01,29
2021-08-01T00:00:00Z,1,01,44
2021-08-08T00:00:00Z,1,01,28
2021-08-15T00:00:00Z,1,01,31
2021-08-22T00:00:00Z,1,01,32
2021-08-29T00:00:00Z,1,01,29
2021-09-05T00:00:00Z,1,01,28
2021-09-12T00:00:00Z,1,01,47
2021-09-19T00:00:00Z,1,01,31
2021-09-26T00:00:00Z,1,01,24
2021-10-03T00:00:00Z,1,01,21
2021-10-10T00:00:00Z,1,01,24
2021-10-17T00:00:00Z,1,01,34
2021-10-24T00:00:00Z,1,01,26
2021-10-31T00:00:00Z,1,01,25
2021-11-07T00:00:00Z,1,01,36
2021-11-14T00:00:00Z,1,01,36
2021-11-21T00:00:00Z,1,01,30
2021-11-28T00:00:00Z,1,01,21
2021-12-05T00:00:00Z,1,01,37
2021-12-12T00:00:00Z,1,01,28
2021-12-19T00:00:00Z,1,01,31
2021-12-26T00:00:00Z,1,01,15
2022-01-02T00:00:00Z,1,01,15
2022-01-09T00:00:00Z,1,01,29
2022-01-16T00:00:00Z,1,01,21
2022-01-23T00:00:00Z,1,01,24
2022-01-30T00:00:00Z,1,01,21
2022-02-06T00:00:00Z,1,01,24
2022-02-13T00:00:00Z,1,01,16
2022-02-20T00:00:00Z,1,01,35
2022-02-27T00:00:00Z,1,01,26
2022-03-06T00:00:00Z,1,01,28
2022-03-13T00:00:00Z,1,01,28
2022-03-20T00:00:00Z,1,01,25
2022-03-27T00:00:00Z,1,01,4
2015-08-09T00:00:00Z,1,02,2
2015-08-23T00:00:00Z,1,02,3
2015-08-30T00:00:00Z,1,02,5
2015-09-06T00:00:00Z,1,02,4
2015-09-13T00:00:00Z,1,02,2
2015-09-20T00:00:00Z,1,02,5
2015-09-27T00:00:00Z,1,02,4
2015-10-04T00:00:00Z,1,02,3
2015-10-11T00:00:00Z,1,02,4
2015-10-18T00:00:00Z,1,02,9
2015-10-25T00:00:00Z,1,02,12
2015-11-01T00:00:00Z,1,02,5
2015-11-08T00:00:00Z,1,02,10
2015-11-15T00:00:00Z,1,02,7
2015-11-22T00:00:00Z,1,02,7
2015-11-29T00:00:00Z,1,02,6
2015-12-06T00:00:00Z,1,02,8
2015-12-13T00:00:00Z,1,02,10
